locationType,location,major,minor,occupation,ethnicity,total,median,mean
Territorial Authority,Tasman District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,24,22500,23100
Territorial Authority,Tasman District,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,9,12400,12800
Territorial Authority,Tasman District,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,6,27400,24000
Territorial Authority,Tasman District,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Tasman District,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,9,43100,44300
Territorial Authority,Nelson City,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,36,14000,18100
Territorial Authority,Nelson City,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,6,6200,9300
Territorial Authority,Nelson City,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Territorial Authority,Nelson City,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,6,53800,58700
Territorial Authority,Marlborough District,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,6,35600,38800
Territorial Authority,Marlborough District,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Territorial Authority,Marlborough District,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
